	control_rep1	control_rep1_md5sum	control_rep2	control_rep2_md5sum	expt_rep1	expt_rep1_md5sum	expt_rep2	expt_rep2_md5sum	name
ENCSR000SKS	ENCFF534AWV.bam	982950ab9c9c2b0639bcbd9c52fcc6fb	ENCFF134QUL.bam	ad84b066ad25b40758edb3c36a86a3f8	ENCFF992YGD.bam	72a623286dc027f63023f6dc4ba9691e	ENCFF126RPY.bam	2935c0ddba008e679dbd7f8db89b155d	RPLP0
ENCSR003LSA	ENCFF988VWE.bam	63aab8b4b68d96306f21956b86c25d0f	ENCFF893QHC.bam	fa5e2cc66763ec268cd91b072c9eb06f	ENCFF831XLU.bam	4c6811e884dc0cc3038c29ab484e458e	ENCFF194QUZ.bam	f77e3808093ed9e4f5e8030e326285ed	SNRNP200
ENCSR004OSI	ENCFF460AAE.bam	b691efe23fdd3873e7b5d5e6a9b20ba4	ENCFF058QDT.bam	d8f3f5606b74eccd282f560e20b8c893	ENCFF582HPV.bam	40ce65ef362259a1b15fc6060802ce64	ENCFF601DMY.bam	677705e5a1f0cce1085fe55dbe284faa	DNAJC2
ENCSR009PPI	ENCFF052HTH.bam	e6d81c60dffc32e98f491f1ee02236b8	ENCFF857QSU.bam	2dd2e67ec047cb195b6da4207d0cc26d	ENCFF865GTN.bam	f6cf64580d7a79c8ffc30890ee670317	ENCFF569MFV.bam	bbef1be538e57ea495a193eb46e464e3	FXR1
ENCSR010ZMZ	ENCFF499UUZ.bam	b0fdad0ee704046b511099cf04e7eb5e	ENCFF326XKY.bam	ecd206b9d417019fa0c50604afef3094	ENCFF120YPA.bam	9e34244ba7a6beb52932fa3b3688c138	ENCFF791RLG.bam	12265b4e8f2b2bb1bf05c5fd0a4890ed	HLTF
ENCSR011BBS	ENCFF481PMW.bam	2fefb9f524052ff0a5f694144a9c20d6	ENCFF610JDV.bam	7b4d09c13aa9afe092b296537c4a45fa	ENCFF172AYP.bam	321b291c4d977f7871f9a2be54189bc7	ENCFF099GGP.bam	2029a16eb3a7bebdc0f6c6068e378a37	SART3
ENCSR012DAF	ENCFF481PMW.bam	2fefb9f524052ff0a5f694144a9c20d6	ENCFF610JDV.bam	7b4d09c13aa9afe092b296537c4a45fa	ENCFF887JLA.bam	dce7c5500698808915fe15d89c10fcfe	ENCFF772ENG.bam	6ef504465820d8048d8ac41fac4e5b4a	APOBEC3C
ENCSR016IDR	ENCFF052HTH.bam	e6d81c60dffc32e98f491f1ee02236b8	ENCFF857QSU.bam	2dd2e67ec047cb195b6da4207d0cc26d	ENCFF426DHN.bam	c3ed1aa12c905aa96227d16f5160e235	ENCFF108HHU.bam	d81de12395bb6170a9af399b55b6f155	AKAP1
ENCSR016XPB	ENCFF988VWE.bam	63aab8b4b68d96306f21956b86c25d0f	ENCFF893QHC.bam	fa5e2cc66763ec268cd91b072c9eb06f	ENCFF590AIM.bam	bfb8520cae744eb7babd20ca8b73e781	ENCFF698DFA.bam	520b7a86a4c5d796c77407fdecefc388	NPM1
